0,0
00:45:40,0.672329041 Image_Scale: 1 Haar_Scale: 2
00:45:41,0.154147554 Image_Scale: 2 Haar_Scale: 2
00:45:41,0.0504740669999 Image_Scale: 3 Haar_Scale: 2
00:45:41,0.590730333 Image_Scale: 1 Haar_Scale: 2
00:45:41,0.148690845 Image_Scale: 2 Haar_Scale: 2
00:45:42,0.054383142 Image_Scale: 3 Haar_Scale: 2
00:45:42,0.590444401 Image_Scale: 1 Haar_Scale: 2
00:45:42,0.144388862 Image_Scale: 2 Haar_Scale: 2
00:45:42,0.0508319820001 Image_Scale: 3 Haar_Scale: 2
00:45:43,0.594710392 Image_Scale: 1 Haar_Scale: 2
00:45:43,0.147490129 Image_Scale: 2 Haar_Scale: 2
00:45:43,0.0524366019999 Image_Scale: 3 Haar_Scale: 2
00:45:44,0.59332072 Image_Scale: 1 Haar_Scale: 2
00:45:44,0.146223428 Image_Scale: 2 Haar_Scale: 2
00:45:44,0.0509119630001 Image_Scale: 3 Haar_Scale: 2
00:45:45,0.594868354 Image_Scale: 1 Haar_Scale: 2
00:45:45,0.231363298 Image_Scale: 2 Haar_Scale: 2
00:45:45,0.0495062949999 Image_Scale: 3 Haar_Scale: 2
00:45:46,0.620621266 Image_Scale: 1 Haar_Scale: 2
00:45:46,0.141529538 Image_Scale: 2 Haar_Scale: 2
00:45:46,0.05016114 Image_Scale: 3 Haar_Scale: 2
00:45:47,0.592123004 Image_Scale: 1 Haar_Scale: 2
00:45:47,0.146272416 Image_Scale: 2 Haar_Scale: 2
00:45:47,0.0504720670001 Image_Scale: 3 Haar_Scale: 2
